id,sourceUrl,sourceTitle,jobTitle,socCode,numberOfOpenings,sponsorName,unionName,locationSummary,regions,recruitmentStartDate,recruitmentEndDate,applicationStartDate,applicationEndDate,applicationMethods,applicationSummary,applicationWebsite,applicationEmail,applicationPhone,applicationInPersonAddress,applicationMailingAddress,applicationHours,applicationLimit,applicationLimitDetails,applicationFee,applicationFeeDetails,ageRequirement,educationRequirement,residencyRequirement,transportationRequirement,drugTestRequirement,classRequirement,allRequirements,requirementsSummary,contactName,contactPhone,contactEmail,contactWebsite,contactSummary
area-sheet-metal-workers-jatc-lu112-elmira-0-sheet-metal-worker-apprentice,https://dol.ny.gov/news/area-sheet-metal-workers-jatc-lu112-elmira-0,Area Sheet Metal Workers JATC LU#112 (Elmira),Sheet Metal Worker Apprentice,47-2211.00,10,"JATC for Area Sheet Metal Workers, Local Union #112",Local Union #112,Southern Tier and Western New York,"[""Southern Tier"", ""Western New York""]",2026-03-01,2027-02-28,2026-03-01,2027-02-28,"[""in_person_application"", ""mail_application"", ""online_application""]","Get the application from JATC for Area Sheet Metal Workers Local Union #112 in Elmira, download it from the union website, and return the completed application in person or by mail by February 28, 2027.",https://www.smw112.org,,,"1200 Clemens Center Parkway, Elmira, NY 14902","P.O. Box 1146, Elmira, NY 14902","8:00 a.m. to 4:30 p.m., Monday through Friday, excluding legal holidays, during the recruitment period.",,,,,Must be at least 18 years old.,Must have a high school diploma or a high school equivalency diploma such as TASC or GED.,,"Must have a valid NYS driver's license, may be required to drive company vehicles, and must have reliable transportation to work sites and required classes at the approved school.",Must pass a drug test at the sponsor's expense after selection and before enrollment.,Must attend 50% of all local union meetings during each school year and have reliable transportation to required classes at the approved school.,"[""Must be at least 18 years old."", ""Must have a high school diploma or a high school equivalency diploma (such as TASC or GED)."", ""Must sign an affidavit stating that the applicant is physically able to perform the work of a Sheet Metal Worker, including working with sharp objects, hazardous machinery, and possible exposure to loud noises and respiratory irritants; standing, sitting and walking for prolonged periods; squatting and bending repeatedly; working in severe weather and extreme temperatures; working in confined spaces; lifting and/or moving heavy objects and equipment weighing up to 100 pounds; and working off ladders and scaffolds at heights that may exceed 50 feet."", ""Must have a valid NYS driver's license. Apprentices may be required to drive company vehicles."", ""Must have reliable transportation to and from various work sites and required classes at the approved school."", ""Must pass a drug test, at the expense of the sponsor, after selection and prior to enrollment in apprenticeship."", ""Must provide own hand tools as per the JATC LU 112 apprentices tool list, not to exceed $750.00."", ""Must have manual dexterity and multi-limb coordination with the ability to move and coordinate two or more limbs (arms and legs) to grasp, manipulate, and/or assemble objects in a timely fashion."", ""Must be able to read, hear, speak, and understand verbal instructions and warnings given in English."", ""Must have visual color discrimination in order to match or detect between colors, including shades of color and brightness."", ""Must be able to read, write, and understand verbal instructions and warnings given in English."", ""Must be bondable."", ""Must attend 50% of all local union meetings during each school year (September through August).""]","Applicants must be at least 18, have a high school diploma or equivalency, have a valid NYS driver's license, reliable transportation, and be able to meet the physical, language, tool, drug test, bondability, and union meeting requirements.","JATC for Area Sheet Metal Workers, Local Union #112",(607) 733-3732,,https://www.smw112.org,"Contact JATC for Area Sheet Metal Workers, Local Union #112 at (607) 733-3732 for further information."
bac-local-1-hudson-valley-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bac-local-1-hudson-valley,BAC Local 1 of Hudson Valley,"Bricklayer, Mason, and Plasterer Apprentice",47-2021.00,10,Joint Apprenticeship and Training Committee for Bricklayers & Allied Craftworkers,"Bricklayers & Allied Craftworkers, Local Union #5","Newburgh, NY area","[""Hudson Valley""]",2026-03-02,2027-03-01,2026-03-02,2027-03-01,"[""in_person_application"", ""mail_application""]","Pick up applications at Local Union #5, 1 Scobie Drive, Newburgh, NY, on Mondays from 8:00 a.m. to 12:00 p.m. during the recruitment period, then mail the completed application so it is postmarked by March 1, 2027.",,,,"Local Union #5, 1 Scobie Drive, Newburgh, NY",,"8:00 a.m. to 12:00 p.m. every Monday, excluding holidays, during the recruitment period",,,,,Must be at least 18 years old.,"Must have a high school diploma or high school equivalency diploma, such as TASC or GED.",,"Must be physically able to work in all types of weather, travel long distances, and work at heights and on scaffolds and lifts.",Must be able to pass a drug test upon offer of employment; the sponsor pays for the test.,,"[""Must be at least 18 years old."", ""Must have a high school diploma or high school equivalency diploma (such as TASC or GED)."", ""Must be physically able to perform the work of a bricklayer, mason, or plasterer."", ""Must be able to work in all types of weather."", ""Must be capable and willing to travel long distances."", ""Must be able to adapt to various job conditions, including working at heights and on scaffold (swing, pipe, and hydraulic lifts)."", ""Must be able to pass a drug test upon offer of employment; the sponsor pays for the test.""]","Applicants must be at least 18, have a high school diploma or equivalency, be physically able to do the work and travel, and pass a sponsor-paid drug test after an offer.",Local Union #5,(845) 905-2402,,,Contact Local Union #5 at (845) 905-2402 for further information.
boilermakers-northeastern-jac-local-5-zone-7-0-boilermaker-construction-apprentice,https://dol.ny.gov/news/boilermakers-northeastern-jac-local-5-zone-7-0,"Boilermakers Northeastern JAC Local #5, Zone # 7",Boilermaker (Construction) Apprentice,47-2011.00,3,"Joint Apprenticeship and Training Committee (JATC) for Boilermakers Northeastern, Local Union #5, Zone #7","Boilermakers Northeastern, Local Union #5, Zone #7","Finger Lakes, Southern Tier, and Western regions of New York State","[""Finger Lakes"", ""Southern Tier"", ""Western New York""]",2025-11-26,2026-11-25,2025-11-26,2026-11-25,"[""online_application""]","Apply online at boilermakersapprenticeship.com during the recruitment period. Applications can be submitted online through November 25, 2026.",https://www.boilermakersapprenticeship.com,,,,,"All day, all hours during the recruitment period.",,,,,Must be at least 18 years old.,"Must have a high school diploma or a high school equivalency diploma, such as TASC or GED.",,Must have reliable transportation to and from various job sites and required classes at the approved school.,Must pass a drug/alcohol test at the sponsor's expense within 48 hours of signing the apprenticeship agreement.,Must attend required classes at the approved school.,"[""Must be at least 18 years old. Proof of age will be required after selection and at the time of enrollment in apprenticeship."", ""Must have a high school diploma or a high school equivalency diploma, such as TASC or GED. Proof will be required when the applicant is presented with a bona fide offer or at the time of enrollment in apprenticeship."", ""Must sign an affidavit attesting that they are physically able to do the work of a Boilermaker (Construction), including working eight hours continually on feet; lifting and carrying weights in excess of 95 pounds for extended periods; working in severe weather conditions and extreme temperatures; working in restrictive and confined spaces; working at heights of 20 feet on a scaffold or platform; working in ditches or trenches up to 20 feet in depth; and working in nuclear facilities and hazardous conditions."", ""Must pass a drug/alcohol test, at the expense of the sponsor, within 48 hours of signing the apprenticeship agreement."", ""Must have reliable means of transportation to and from various job sites and required classes at the approved school.""]","Applicants must be at least 18, have a high school diploma or equivalency, be physically able to perform the work, pass a drug/alcohol test, and have reliable transportation.","Boilermakers Northeast JATC, Local Union #5, Zone #7",(716) 667-0861,,,"Contact Boilermakers Northeast JATC, Local Union #5, Zone #7 at (716) 667-0861 for further information."
boilermakers-northeastern-jac-lu-5-zone-197-boilermaker-construction-apprentice,https://dol.ny.gov/news/boilermakers-northeastern-jac-lu-5-zone-197,Boilermakers Northeastern JAC LU 5 Zone 197,Boilermaker (Construction) Apprentice,47-2011.00,5,"Boilermakers Northeast JATC, Local Union #5, Zone #197","Local Union #5, Zone #197","Albany, NY","[""Capital Region""]",2026-05-12,2027-05-11,2026-05-12,2027-05-11,"[""online_application""]","Apply online at BoilermakersApprenticeship.com during the recruitment period. All applications must be received by May 11, 2027.",https://www.BoilermakersApprenticeship.com,,,,,,,,,,Must be at least 18 years old.,Must have a high school diploma or a high school equivalency diploma such as TASC or GED.,,Must have reliable transportation to remote job sites and required classes at the approved school.,Must be willing to submit to a drug/alcohol test within 48 hours of signing the apprentice agreement. The sponsor pays for the test.,Must be able to attend required classes at the approved school.,"[""Must be at least 18 years old; proof of age will be required at the time of the offer of employment."", ""Must have a high school diploma or a high school equivalency diploma such as TASC or GED; proof will be required at the time of an offer of employment."", ""Must verbally attest that they are physically able to do the work of a Boilermaker (Construction), including working 8 hours continually on feet; lifting and carrying weights in excess of 95 pounds for extended periods; working in extreme weather conditions and temperatures; working in restrictive and confined spaces; working at heights of 20 feet on a scaffold or platform; working in ditches or trenches up to 20 feet in depth; and working in nuclear facilities and hazardous conditions."", ""Must be willing to submit to a drug/alcohol test within 48 hours of signing the apprentice agreement. The test will be paid for by the sponsor."", ""Must have reliable transportation to report to remote job sites and required classes at the approved school.""]","Applicants must be 18 or older, have a high school diploma or equivalency, pass a physical ability attestation, agree to a drug/alcohol test, and have reliable transportation.","Boilermakers Northeast JATC, Local Union #5, Zone #197",(518) 438-0718,,https://www.neaac.net,"Contact Boilermakers Northeast JATC, Local Union #5, Zone #197 at (518) 438-0718 or visit the Boilermakers Northeast JATC website for more information."
bricklayers-allied-craftworkers-jac-local-2-oswego-0-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-oswego-0,Bricklayers & Allied Craftworkers JAC Local 2 (Oswego),"Bricklayer, Mason and Plasterer Apprentice",47-2021.00,4,"JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Oswego)","Bricklayers & Allied Craftworkers, Local Union #2 (Oswego)","Liverpool, NY; applicants must live within Local Union #2's jurisdiction","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""online_application"", ""mail_application"", ""in_person_application""]","Obtain and complete an application in person at the JATC office in Liverpool, apply online at baclocal2nyvt.org, or return the application by mail. Applications must be received by April 30, 2027.",https://www.baclocal2nyvt.org,,,"JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Oswego), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Oswego), 7705 Maltlage Drive, Liverpool, NY 13088","Mondays through Fridays, from 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties: Albany, Cayuga, Clinton, Columbia, Essex, Franklin, Fulton, Greene, Hamilton, Herkimer, Jefferson, Lewis, Madison, Montgomery, Oneida, Onondaga, Oswego, Rensselaer, St. Lawrence, Saratoga, Schenectady, Schoharie, Warren, and Washington.","Must have reliable transportation to and from job sites and required classes, and a valid driver’s license to operate company vehicles.",,Must be able to attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must have a valid driver’s license to operate company vehicles."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application. This includes the counties of Albany, Cayuga, Clinton, Columbia, Essex, Franklin, Fulton, Greene, Hamilton, Herkimer, Jefferson, Lewis, Madison, Montgomery, Oneida, Onondaga, Oswego, Rensselaer, St. Lawrence, Saratoga, Schenectady, Schoharie, Warren, Washington.""]","Applicants must be at least 17, physically able to lift 50-100 pounds, have reliable transportation and a valid driver’s license, and live in Local Union #2’s jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Oswego)",(315) 622-2081,,,"Call the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Oswego) at (315) 622-2081 for further information."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Bricklayers & Allied Craftworkers JAC Local 2 (Syracuse),"Bricklayer, Mason and Plasterer Apprentice",47-2021.00,6,"Joint Apprenticeship and Training Committee (JATC) for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Local Union #2 jurisdiction in upstate New York; applications in Liverpool, NY","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""in_person_application"", ""online_application"", ""mail_application""]","Apply in person at Bricklayers & Allied Craftworkers Local Union #2 in Liverpool or apply online; completed applications may also be mailed. Applications must be received by April 30, 2027.",http://www.baclocal2nyvt.org,,,"Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Mondays through Fridays of each month, 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period.",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties include Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence.",Must have reliable transportation to and from job sites and required classes at the approved school.,,Must attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application."", ""Jurisdiction includes the counties of Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence."", ""Must be able to attend required classes at the approved school.""]","Applicants must be at least 17, able to lift 50-100 pounds, have reliable transportation, and live in the Local Union #2 jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)",(315) 622-2081,,http://www.baclocal2nyvt.org,"Contact the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse) at (315) 622-2081."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-cement-finisher-or-cement-mason-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Bricklayers & Allied Craftworkers JAC Local 2 (Syracuse),Cement Finisher or Cement Mason Apprentice,47-2051.00,4,"Joint Apprenticeship and Training Committee (JATC) for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Local Union #2 jurisdiction in upstate New York; applications in Liverpool, NY","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""in_person_application"", ""online_application"", ""mail_application""]","Apply in person at Bricklayers & Allied Craftworkers Local Union #2 in Liverpool or apply online; completed applications may also be mailed. Applications must be received by April 30, 2027.",http://www.baclocal2nyvt.org,,,"Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Mondays through Fridays of each month, 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period.",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties include Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence.",Must have reliable transportation to and from job sites and required classes at the approved school.,,Must attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application."", ""Jurisdiction includes the counties of Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence."", ""Must be able to attend required classes at the approved school.""]","Applicants must be at least 17, able to lift 50-100 pounds, have reliable transportation, and live in the Local Union #2 jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)",(315) 622-2081,,http://www.baclocal2nyvt.org,"Contact the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse) at (315) 622-2081."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-pointer-caulker-and-cleaner-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Bricklayers & Allied Craftworkers JAC Local 2 (Syracuse),"Pointer, Caulker and Cleaner Apprentice",47-2061.00,6,"Joint Apprenticeship and Training Committee (JATC) for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Local Union #2 jurisdiction in upstate New York; applications in Liverpool, NY","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""in_person_application"", ""online_application"", ""mail_application""]","Apply in person at Bricklayers & Allied Craftworkers Local Union #2 in Liverpool or apply online; completed applications may also be mailed. Applications must be received by April 30, 2027.",http://www.baclocal2nyvt.org,,,"Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Mondays through Fridays of each month, 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period.",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties include Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence.",Must have reliable transportation to and from job sites and required classes at the approved school.,,Must attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application."", ""Jurisdiction includes the counties of Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence."", ""Must be able to attend required classes at the approved school.""]","Applicants must be at least 17, able to lift 50-100 pounds, have reliable transportation, and live in the Local Union #2 jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)",(315) 622-2081,,http://www.baclocal2nyvt.org,"Contact the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse) at (315) 622-2081."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-tile-marble-and-terrazzo-finisher-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Bricklayers & Allied Craftworkers JAC Local 2 (Syracuse),"Tile, Marble and Terrazzo Finisher Apprentice",47-2044.00,2,"Joint Apprenticeship and Training Committee (JATC) for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Local Union #2 jurisdiction in upstate New York; applications in Liverpool, NY","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""in_person_application"", ""online_application"", ""mail_application""]","Apply in person at Bricklayers & Allied Craftworkers Local Union #2 in Liverpool or apply online; completed applications may also be mailed. Applications must be received by April 30, 2027.",http://www.baclocal2nyvt.org,,,"Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Mondays through Fridays of each month, 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period.",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties include Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence.",Must have reliable transportation to and from job sites and required classes at the approved school.,,Must attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application."", ""Jurisdiction includes the counties of Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence."", ""Must be able to attend required classes at the approved school.""]","Applicants must be at least 17, able to lift 50-100 pounds, have reliable transportation, and live in the Local Union #2 jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)",(315) 622-2081,,http://www.baclocal2nyvt.org,"Contact the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse) at (315) 622-2081."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-tile-setter-3-year-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Bricklayers & Allied Craftworkers JAC Local 2 (Syracuse),Tile Setter (3 Year) Apprentice,47-3011.00,2,"Joint Apprenticeship and Training Committee (JATC) for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)","Local Union #2 jurisdiction in upstate New York; applications in Liverpool, NY","[""Capital Region"", ""Central New York"", ""Mohawk Valley"", ""North Country""]",2026-05-01,2027-04-30,2026-05-01,2027-04-30,"[""in_person_application"", ""online_application"", ""mail_application""]","Apply in person at Bricklayers & Allied Craftworkers Local Union #2 in Liverpool or apply online; completed applications may also be mailed. Applications must be received by April 30, 2027.",http://www.baclocal2nyvt.org,,,"Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Bricklayers & Allied Craftworkers JATC #2 (Syracuse), 7705 Maltlage Drive, Liverpool, NY 13090","Mondays through Fridays of each month, 8:00 p.m. to 4:00 p.m., excluding legal holidays, during the recruitment period.",,,,,Must be at least 17 years old.,,"Must reside within the geographic jurisdiction of Local Union #2 for at least six months before applying. Counties include Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence.",Must have reliable transportation to and from job sites and required classes at the approved school.,,Must attend required classes at the approved school.,"[""Must be at least 17 years old."", ""Must be physically able to lift 50-100 pounds."", ""Must have reliable transportation to and from job sites and required classes at the approved school."", ""Must reside within the geographic jurisdiction of Local Union #2 for at least six months prior to application."", ""Jurisdiction includes the counties of Albany, Cayuga, Clinton, Columbia, Schenectady, Schoharie, Warren, Washington, Greene, Rensselaer, Fulton, Hamilton, Montgomery, Saratoga, Essex, Franklin, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, and St. Lawrence."", ""Must be able to attend required classes at the approved school.""]","Applicants must be at least 17, able to lift 50-100 pounds, have reliable transportation, and live in the Local Union #2 jurisdiction for at least six months before applying.","JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse)",(315) 622-2081,,http://www.baclocal2nyvt.org,"Contact the JATC for Bricklayers & Allied Craftworkers, Local Union #2 (Syracuse) at (315) 622-2081."
