Alias,Region
NYC,New York City
Five Boroughs,New York City
Manhattan,New York City
Staten Island,New York City
Long Island City,New York City
College Point,New York City
Long Island,Long Island
Melville,Long Island
Hauppauge,Long Island
Capital District,Capital Region
Capital,Capital Region
Central,Central New York
Western,Western New York
Western NY,Western New York
Western New York,Western New York
Southwestern NY,Western New York
Southwestern New York,Western New York
St Lawrence,North Country
St. Lawrence,North Country
Rochester,Finger Lakes
Binghamton,Southern Tier
Buffalo,Western New York
Albany,Capital Region
Latham,Capital Region
Syracuse,Central New York
Watertown,North Country
White Plains,Hudson Valley
