id,sourceUrl,jobTitle,displayJobTitle,promptJobTitle,socCode,description
area-sheet-metal-workers-jatc-lu112-elmira-0-sheet-metal-worker-apprentice,https://dol.ny.gov/news/area-sheet-metal-workers-jatc-lu112-elmira-0,Sheet Metal Worker Apprentice,Sheet Metal Worker,Sheet Metal Worker,47-2211.00,"A Sheet Metal Worker makes, installs, and repairs metal parts used in buildings and equipment. They measure and cut sheet metal, bend and shape it, and fasten ducts, vents, flashing, and panels using hand tools, power tools, and welding equipment. Their work helps heating, cooling, and building systems fit properly and keep running safely."
asbestos-workers-jac-lu-91-0-insulation-and-asbestos-worker-apprentice,https://dol.ny.gov/news/asbestos-workers-jac-lu-91-0,Insulation and Asbestos Worker Apprentice,Insulation and Asbestos Worker,Insulation and Asbestos Worker,47-2131.00,"An Insulation and Asbestos Worker installs and removes materials that cover pipes, ducts, boilers, walls, and ceilings. They measure, cut, fit, wrap, and fasten insulation, and in older buildings they seal off areas and safely remove asbestos-containing materials. Their work helps control heat and noise, save energy, and keep buildings safer for the people inside."
bac-local-1-hudson-valley-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bac-local-1-hudson-valley,"Bricklayer, Mason, and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
boilermakers-northeastern-jac-local-5-zone-7-0-boilermaker-construction-apprentice,https://dol.ny.gov/news/boilermakers-northeastern-jac-local-5-zone-7-0,Boilermaker (Construction) Apprentice,Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
boilermakers-northeastern-jac-lu-5-zone-197-boilermaker-construction-apprentice,https://dol.ny.gov/news/boilermakers-northeastern-jac-lu-5-zone-197,Boilermaker (Construction) Apprentice,Boilermaker,Boilermaker (Construction),47-2011.00,"A Boilermaker in construction builds, installs, and repairs large metal tanks, boilers, and pressure vessels on job sites. They read blueprints, cut and fit steel plates, weld parts together, bolt sections in place, and test for leaks or pressure problems. Their work helps keep industrial buildings, heating systems, and heavy equipment running safely."
bricklayers-allied-craftworkers-jac-local-2-oswego-0-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-oswego-0,"Bricklayer, Mason and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-bricklayer-mason-and-plasterer-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,"Bricklayer, Mason and Plasterer Apprentice","Bricklayer, Mason, and Plasterer","Bricklayer, Mason, and Plasterer",47-2021.00,"A Bricklayer, Mason, and Plasterer builds and finishes walls, floors, chimneys, and other surfaces using brick, stone, concrete blocks, mortar, and plaster. They measure, cut, spread, stack, smooth, and repair materials by hand, often working from scaffolds or ladders. Their work builds strong structures, protects surfaces, and keeps buildings safe and weather resistant."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-cement-finisher-or-cement-mason-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,Cement Finisher or Cement Mason Apprentice,Cement Finisher or Cement Mason,Cement Finisher or Cement Mason,47-2051.00,"A Cement Finisher or Cement Mason works with wet concrete on sidewalks, floors, curbs, roads, and building foundations. They spread, level, smooth, edge, and texture the surface using hand and power tools, and may add joints or seal finishes as it sets. Their work helps concrete surfaces stay strong, even, safe to walk or drive on, and long-lasting."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-pointer-caulker-and-cleaner-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,"Pointer, Caulker and Cleaner Apprentice","Pointer, Caulker, and Cleaner","Pointer, Caulker, and Cleaner",47-2061.00,"A Pointer, Caulker, and Cleaner repairs and protects the outside of brick, stone, and concrete buildings. They rake out damaged mortar, pack in new mortar between joints, seal cracks and gaps with caulk, and wash or sandblast surfaces to remove grime and stains, often while working from scaffolds. This keeps walls strong, dry, clean, and safer."
bricklayers-allied-craftworkers-jac-local-2-syracuse-1-tile-marble-and-terrazzo-finisher-apprentice,https://dol.ny.gov/news/bricklayers-allied-craftworkers-jac-local-2-syracuse-1,"Tile, Marble and Terrazzo Finisher Apprentice","Tile, Marble, and Terrazzo Finisher","Tile, Marble, and Terrazzo Finisher",47-2044.00,"A Tile, Marble, and Terrazzo Finisher prepares floors, walls, countertops, and stairs for tile, marble, or terrazzo installation. They spread mortar, level surfaces, patch holes, grind edges, polish finishes, and clean away extra material so everything fits smoothly. Their work helps surfaces look neat, last longer, and stay safe and durable in everyday use."
