jobTitle,socCode,socTitle
Boilermaker (Construction) Apprentice,47-2011,Boilermakers
Bricklayer and Mason Apprentice,47-2021,Brickmasons and Blockmasons
"Bricklayer, Mason and Plasterer Apprentice",47-2021,Brickmasons and Blockmasons
"Bricklayer, Mason, and Plasterer Apprentice",47-2021,Brickmasons and Blockmasons
Bricklayer-Mason Apprentice,47-2021,Brickmasons and Blockmasons
Cabinet Maker Apprentice,51-7011,Cabinetmakers and Bench Carpenters
Cabinetmaker Apprentice,51-7011,Cabinetmakers and Bench Carpenters
Carpenter (Pile Driver/Dockbuilder) Apprentice,47-2031,Carpenters
Carpenter (Piledriver/Dockbuilder) Apprentice,47-2031,Carpenters
Carpenter Apprentice,47-2031,Carpenters
Cement Finisher or Cement Mason Apprentice,47-2051,Cement Masons and Concrete Finishers
Cement Mason Apprentice,47-2051,Cement Masons and Concrete Finishers
Dry Wall Taper (Finisher) Apprentice,47-2082,Tapers
Electrician (Housewire or Residential) Apprentice,47-2111,Electricians
Electrician Apprentice,47-2111,Electricians
Elevator-Escalator Constructor and Modernizer Apprentice,47-4021,Elevator Installers and Repairers
Glazier Apprentice,47-2121,Glaziers
"Heating, Ventilation & Air Conditioning Mechanic Apprentice",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"Heating, Ventilation and Air Conditioning Mechanic Apprentice",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"Heating, Ventilation, & Air Conditioning Mechanic Apprentice",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"Heating, Ventilation, and Air Conditioning Mechanic Apprentice",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Insulation and Asbestos Worker Apprentice,47-2131,"Insulation Workers, Floor, Ceiling, and Wall"
Ironworker (Outside) Apprentice,47-2221,Structural Iron and Steel Workers
"Linoleum, Resilient Tile and Carpet Layer Apprentice",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
"Linoleum, Resilient Tile, and Carpet Layer Apprentice",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
"Marble, Carver, Cutter and Setter Apprentice",47-2044,Tile and Marble Setters
Metal Refinisher Apprentice,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
Millwright Apprentice,49-9044,Millwrights
Multi-Story Window and Building Surface Cleaner Apprentice,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Operating Engineer (Heavy Equipment Operator) Apprentice,47-2073,Operating Engineers and Other Construction Equipment Operators
Operating Engineer (Heavy Equipment) Apprentice,47-2073,Operating Engineers and Other Construction Equipment Operators
Operating Engineer (Universal Equipment) Apprentice,47-2073,Operating Engineers and Other Construction Equipment Operators
Painter and Decorator (Structural Steel & Bridges) Apprentice,47-2141,"Painters, Construction and Maintenance"
Painter and Decorator (Structural Steel-Bridges) Apprentice,47-2141,"Painters, Construction and Maintenance"
"Painter, Decorator & Paperhanger Apprentice",47-2141,"Painters, Construction and Maintenance"
"Painter, Decorator, and Paperhanger Apprentice",47-2141,"Painters, Construction and Maintenance"
Plasterer Apprentice,47-2161,Plasterers and Stucco Masons
Plumber Apprentice,47-2152,"Plumbers, Pipefitters, and Steamfitters"
Plumber and Pipefitter Apprentice,47-2152,"Plumbers, Pipefitters, and Steamfitters"
Plumber and Steamfitter Apprentice,47-2152,"Plumbers, Pipefitters, and Steamfitters"
"Pointer, Caulker and Cleaner Apprentice",47-2141,"Painters, Construction and Maintenance"
"Pointer, Caulker, & Cleaner Apprentice",47-2141,"Painters, Construction and Maintenance"
Roofer Apprentice,47-2181,Roofers
Sheet Metal Worker Apprentice,47-2211,Sheet Metal Workers
Skilled Construction Craft Laborer,47-2061,Construction Laborers
Skilled Construction Craft Laborer Apprentice,47-2061,Construction Laborers
Steamfitter Apprentice,47-2152,"Plumbers, Pipefitters, and Steamfitters"
Stone Mason Apprentice,47-2022,Stonemasons
Terrazzo Worker Apprentice,47-2053,Terrazzo Workers and Finishers
Tile Setter (3 Year) Apprentice,47-2044,Tile and Marble Setters
Tile Setter Apprentice,47-2044,Tile and Marble Setters
"Tile, Marble and Terrazzo Finisher Apprentice",47-2053,Terrazzo Workers and Finishers
"Tile, Marble, and Terrazzo Finisher Apprentice",47-2053,Terrazzo Workers and Finishers
Welder (Industrial) Apprentice,51-4121,"Welders, Cutters, Solderers, and Brazers"
