AREATYPE, AREA, AREANAME, SOCCODE, SOCTITLE, SOCDESC, EMPLOYMENT,MEAN, MEDIAN, ENTRYWG, EXPERIENCE
01,000036,"New York State", 00-0000,"Total, All Occupations","Total, All Occupations",9541880,82546.81,59959.21,38047.34,104797.57
01,000036,"New York State", 11-0000,"Management Occupations","",642760,185912.33,160736.02,84847.56,236445.22
01,000036,"New York State", 11-1011," Chief Executives","Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body.  Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",7830,349390.26,223383.45,141073.08,453549.36
01,000036,"New York State", 11-1021," General and Operations Managers","Plan, direct, or coordinate the operations of public or private sector organizations.  Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services.  Excludes First-Line Supervisors.",210890,172750.73,132400.2,70525.84,223863.18
01,000036,"New York State", 11-1031," Legislators","Develop, introduce or enact laws and statutes at the local, tribal, State, or Federal level.  Includes only workers in elected positions.",1440,122566.18,98852.5,43914.41,161892.06
01,000036,"New York State", 11-2011," Advertising and Promotions Managers","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or give-aways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",3570,236755.88,207941.34,130706.36,289781.14
01,000036,"New York State", 11-2021," Marketing Managers","Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers.  Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied.  Oversee product development or monitor trends that indicate the need for new products and services.",49480,199350.96,175789.04,108962.54,244545.68
01,000036,"New York State", 11-2022," Sales Managers","Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer.  Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives.  Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",35160,256166.22,218325.37,131396.93,318549.84
01,000036,"New York State", 11-2032,"Public Relations Managers","Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",7330,218918.16,177006.2,121331.71,267711.39
01,000036,"New York State", 11-2033,"Fundraising Managers","Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",4280,180140.25,169502.61,111352.04,214534.36
01,000036,"New York State", 11-3012,"Administrative Services Managers","Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in Medical and Health Services Managers (11-9111). Excludes Facilities Managers (11-3013) and Purchasing Managers (11-3061).",14140,154139.95,134950.63,88650.79,186885.03
01,000036,"New York State", 11-3013,"Facilities Managers","Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus. Excludes Administrative Services Managers (11-3012), Property, Real Estate, and Community Association Managers (11-9141), First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers (37-1010), First-Line Supervisors of Mechanics and Repairers (49-1011), and Maintenance and Repair Workers, General (49-9071).",9140,143113.22,130421.17,85569.7,171884.97
01,000036,"New York State", 11-3021," Computer and Information Systems Managers","Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.  Excludes Computer Occupations (15-1111 through 15-1199).",40780,226279.16,213876.38,142752.65,268042.41
01,000036,"New York State", 11-3031,"Financial Managers","Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",67510,248775.68,219739.11,134809.05,305760.02
01,000036,"New York State", 11-3051," Industrial Production Managers","Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",6250,142034.58,131031.28,89122.37,168491.19
01,000036,"New York State", 11-3061," Purchasing Managers","Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services.  Includes wholesale or retail trade merchandising managers and procurement managers.",5980,183726.54,168009.42,110578.97,220300.32
01,000036,"New York State", 11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations.  Includes logistics managers.",6280,137605.96,123563.33,84482.92,164167.49
01,000036,"New York State", 11-3111," Compensation and Benefits Managers","Plan, direct, or coordinate compensation and benefits activities of an organization.  Job analysis and position description managers are included in Human Resource Managers (11-3121).",1760,195347.08,179664.59,123519.54,231260.85
01,000036,"New York State", 11-3121," Human Resources Managers","Plan, direct, or coordinate human resources activities and staff of an organization.  Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131).",16720,195602.73,174618.74,111978.44,237415.89
01,000036,"New York State", 11-3131," Training and Development Managers","Plan, direct, or coordinate the training and development activities and staff of an organization.",3380,180066.92,168107.2,106723.79,216737.46
01,000036,"New York State", 11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments.  May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation.  May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.  Excludes First-Line Supervisors of Farming, Fishing, and Forestry Workers (45-1011).","n/a",86253.14,79577.62,53882.88,102438.78
