PROGRAM_AK,SPONSOR_NAME,TRADE_NAME,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_CITY,ADDRESS_STATE,ADDRESS_POSTAL_CODE,SPONSOR_REDC_REGION,PROGRAM_STATUS,PROGRAM_APPROVAL_DATE,PROGRAM_GROUP_TYPE,PROGRAM_APPROACH,PROGRAM_LENGTH,RATIO,ONET_SOC_CODE,ONET_TITLE
1518,Strategic Global Aviation Llc,Aircraft Refinishing Paint Technician,394 Hangar Road,,Rome,NY,13441,Mohawk Valley,Probation,2021-12-28,Individual - Non Joint,Hybrid,,"1:1,1:1",49-3011.00,Aircraft Mechanics and Service Technicians
2113,City Mission Of Schenectady,Alcoholism and Substance Abuse Counselor Aide,425 Hamilton St,,Schenectady,NY,12305,Capital,Probation,2023-04-27,Individual - Non Joint,Time,12,"1:1,1:1",21-1093.00,Social and Human Service Assistants
2570,"Helio Health, Inc",Alcoholism and Substance Abuse Counselor Aide,518 James Street,,Syracuse,NY,13203,Central,Probation,2025-02-04,Individual - Non Joint,Time,12,"1:1,1:1",21-1093.00,Social and Human Service Assistants
8123,Outreach Development Corporation,Alcoholism and Substance Abuse Counselor Aide,11711 Myrtle Avenue,,Richmond Hill,NY,11418,New York City,Probation,2024-11-13,Individual - Non Joint,Time,12,"1:1,1:1",21-1093.00,Social and Human Service Assistants
17791,Nys Doccs,Animal Handler,825 Central Avenue,,Albany,NY,12226,Capital,Probation,2025-06-09,Individual - Non Joint,Time,12,"1:1,1:1",39-2021.00,Animal Caretakers
12883,Phillips Auctioneers Dba Phillips,Art Operations Associate,432 Park Avenue,,New York,NY,10022,New York City,Active,2023-06-08,Individual - Non Joint,Time,12,"1:1,1:1",41-9099.00,"Sales and Related Workers, All Other"
7580,"B&B of OGD, LLC dba Bill Rapp Chevrolet of Ogdensburg",Automotive Service Technician,4835 State Highway 68,,Ogdensburg,NY,13669,North Country,Probation,2025-11-13,Individual - Non Joint,Time,48,"1:1,1:1",49-3023.01,Automotive Master Mechanics
16336,"State Wide Autos, Llc",Automotive Service Technician,259 Oriskany Blvd,,Whitesboro,NY,13492,Mohawk Valley,Active,2024-04-05,Individual - Non Joint,Time,48,"1:1,1:1",49-3023.01,Automotive Master Mechanics
18344,Hilton Garden Inn,Bartender,1290 Arsenal St Suite 8,,Watertown,NY,13601,North Country,Probation,2025-10-07,Individual - Non Joint,Time,12,"1:1,1:1",35-3011.00,Bartenders
7572,Mvhs Inc,Behavior Technician,111 Hospital Drive,,Utica,NY,13502,Mohawk Valley,Probation,2025-03-20,Individual - Non Joint,Time,12,"1:1,1:1",29-2053.00,Psychiatric Technicians
4653,"The Inspired Community Project, Inc.",Behavior Technician,1864 7Th Avenue,,New York,NY,10026,New York City,Probation,2024-03-14,Individual - Non Joint,Time,12,"1:1,1:1",29-2053.00,Psychiatric Technicians
13168,Tiffany And Company,Bench Jeweler (Production),200 Fifth Ave,,New York,NY,10010,New York City,Active,2022-08-11,Individual - Non Joint,Time,24,"1:1,1:1",51-9071.00,Jewelers and Precious Stone and Metal Workers
16346,Mvhs Inc,Biological Technician,111 Hospital Drive,,Utica,NY,13502,Mohawk Valley,Probation,2025-03-20,Individual - Non Joint,Time,26,"1:1,1:1",19-4021.10,Biological Technicians
